date,temperature_mean_C,radiation_mean_Wm2
2020-01-01,0.0,11.0
2020-01-02,0.6,21.0
2020-01-03,4.9,40.0
2020-01-04,4.1,66.0
2020-01-05,1.0,76.0
2020-01-06,-1.3,35.0
2020-01-07,2.5,71.0
2020-01-08,1.1,43.0
2020-01-09,3.0,73.0
2020-01-10,6.4,51.0
2020-01-11,2.3,77.0
2020-01-12,0.2,83.0
2020-01-13,-0.6,55.0
2020-01-14,1.0,78.0
2020-01-15,3.6,84.0
2020-01-16,2.5,86.0
2020-01-17,0.8,14.0
2020-01-18,2.4,90.0
2020-01-19,1.2,91.0
2020-01-20,1.3,90.0
2020-01-21,-0.9,92.0
2020-01-22,-1.3,91.0
2020-01-23,-1.3,19.0
2020-01-24,-1.2,30.0
2020-01-25,0.6,34.0
2020-01-26,2.1,28.0
2020-01-27,5.4,33.0
2020-01-28,5.9,23.0
2020-01-29,4.9,29.0
2020-01-30,4.2,61.0
2020-01-31,8.3,59.0
2020-02-01,9.5,39.0
2020-02-02,11.0,17.0
2020-02-03,13.5,37.0
2020-02-04,5.5,88.0
2020-02-05,3.7,120.0
2020-02-06,1.2,116.0
2020-02-07,-0.5,123.0
2020-02-08,0.7,115.0
2020-02-09,5.4,103.0
2020-02-10,11.2,84.0
2020-02-11,7.0,60.0
2020-02-12,3.9,77.0
2020-02-13,3.1,36.0
2020-02-14,5.4,82.0
2020-02-15,3.4,135.0
2020-02-16,8.1,90.0
2020-02-17,9.0,15.0
2020-02-18,5.7,104.0
2020-02-19,4.6,57.0
2020-02-20,5.3,151.0
2020-02-21,5.9,151.0
2020-02-22,4.7,156.0
2020-02-23,11.8,111.0
2020-02-24,11.3,160.0
2020-02-25,7.9,36.0
2020-02-26,3.0,94.0
2020-02-27,3.1,33.0
2020-02-28,4.1,166.0
2020-02-29,7.6,81.0
2020-03-01,8.1,155.0
2020-03-02,3.8,21.0
2020-03-03,4.4,158.0
2020-03-04,5.1,156.0
2020-03-05,7.0,19.0
2020-03-06,5.7,89.0
2020-03-07,3.8,136.0
2020-03-08,3.8,169.0
2020-03-09,6.0,130.0
2020-03-10,4.9,36.0
2020-03-11,9.5,127.0
2020-03-12,11.0,60.0
2020-03-13,7.4,181.0
2020-03-14,5.0,179.0
2020-03-15,5.1,208.0
2020-03-16,7.3,205.0
2020-03-17,8.4,169.0
2020-03-18,8.8,211.0
2020-03-19,9.3,203.0
2020-03-20,8.7,134.0
2020-03-21,7.4,188.0
2020-03-22,4.6,52.0
2020-03-23,3.2,183.0
2020-03-24,3.0,249.0
2020-03-25,3.3,240.0
2020-03-26,3.5,223.0
2020-03-27,3.6,215.0
2020-03-28,7.2,223.0
2020-03-29,6.6,164.0
2020-03-30,2.9,91.0
2020-03-31,4.5,268.0
2020-04-01,3.7,259.0
2020-04-02,5.6,260.0
2020-04-03,5.9,261.0
2020-04-04,6.6,260.0
2020-04-05,8.0,269.0
2020-04-06,9.0,271.0
2020-04-07,10.4,271.0
2020-04-08,11.2,268.0
2020-04-09,11.4,266.0
2020-04-10,11.7,273.0
2020-04-11,11.8,275.0
2020-04-12,12.3,248.0
2020-04-13,12.9,250.0
2020-04-14,9.9,300.0
2020-04-15,8.7,290.0
2020-04-16,12.0,274.0
2020-04-17,13.0,255.0
2020-04-18,12.3,207.0
2020-04-19,13.3,165.0
2020-04-20,14.6,253.0
2020-04-21,11.5,151.0
2020-04-22,12.5,295.0
2020-04-23,13.2,298.0
2020-04-24,13.8,227.0
2020-04-25,14.0,110.0
2020-04-26,12.3,119.0
2020-04-27,13.5,248.0
2020-04-28,12.1,91.0
2020-04-29,11.4,166.0
2020-04-30,10.0,47.0
2020-05-01,10.5,93.0
2020-05-02,11.6,114.0
2020-05-03,11.8,189.0
2020-05-04,15.9,311.0
2020-05-05,13.6,93.0
2020-05-06,12.5,276.0
2020-05-07,13.0,326.0
2020-05-08,16.3,287.0
2020-05-09,17.7,310.0
2020-05-10,17.8,238.0
2020-05-11,12.9,73.0
2020-05-12,8.1,302.0
2020-05-13,9.9,87.0
2020-05-14,11.1,197.0
2020-05-15,11.4,86.0
2020-05-16,12.8,316.0
2020-05-17,13.9,342.0
2020-05-18,15.9,339.0
2020-05-19,18.1,331.0
2020-05-20,18.3,341.0
2020-05-21,18.5,347.0
2020-05-22,18.3,267.0
2020-05-23,14.2,78.0
2020-05-24,12.5,343.0
2020-05-25,15.2,351.0
2020-05-26,16.8,359.0
2020-05-27,16.2,361.0
2020-05-28,16.5,352.0
2020-05-29,16.6,364.0
2020-05-30,15.9,349.0
2020-05-31,16.5,354.0
2020-06-01,16.6,343.0
2020-06-02,18.0,355.0
2020-06-03,15.5,175.0
2020-06-04,14.2,82.0
2020-06-05,13.1,127.0
2020-06-06,16.2,106.0
2020-06-07,12.4,125.0
2020-06-08,13.8,300.0
2020-06-09,13.0,81.0
2020-06-10,14.2,144.0
2020-06-11,15.8,311.0
2020-06-12,17.6,251.0
2020-06-13,15.0,176.0
2020-06-14,14.9,117.0
2020-06-15,16.5,210.0
