date,temperature_mean_C,radiation_diffuse_Wm2,radiation_direct_Wm2,relhum_mean_pct,dj_20_12
2004-01-01,0.84,29.7,36.0,88.1,19.16
2004-01-02,1.27,31.2,42.7,93.2,18.73
2004-01-03,1.09,24.3,111.3,89.7,18.91
2004-01-04,-0.52,28.3,26.8,94.9,20.52
2004-01-05,3.85,26.4,19.9,92.6,16.15
2004-01-06,2.7,21.5,0.6,94.4,17.3
2004-01-07,1.76,27.8,37.6,94.1,18.24
2004-01-08,1.49,30.5,13.2,91.7,18.51
2004-01-09,2.7,30.3,10.5,89.4,17.3
2004-01-10,3.01,15.0,0.0,89.1,16.99
2004-01-11,2.24,11.5,0.0,88.4,17.76
2004-01-12,0.68,37.4,74.5,85.6,19.32
2004-01-13,-0.44,23.0,167.1,84.8,20.44
2004-01-14,-2.35,21.9,169.8,88.4,22.35
2004-01-15,-2.5,26.9,3.7,87.4,22.5
2004-01-16,-1.87,22.2,0.4,77.8,21.87
2004-01-17,-1.54,29.8,138.9,79.0,21.54
2004-01-18,1.84,28.0,17.9,84.0,18.16
2004-01-19,0.87,24.7,156.0,70.7,19.13
2004-01-20,-1.71,26.9,169.3,78.4,21.71
2004-01-21,-0.04,29.3,1.3,74.9,20.04
2004-01-22,0.12,19.2,0.8,83.4,19.88
2004-01-23,0.12,27.8,0.1,88.3,19.88
2004-01-24,-3.42,32.2,168.5,77.7,23.42
2004-01-25,-7.81,41.2,42.5,83.0,27.81
2004-01-26,-9.28,38.8,88.7,88.0,29.28
2004-01-27,-5.6,39.2,96.2,88.1,25.6
2004-01-28,-4.14,43.0,9.5,85.1,24.14
2004-01-29,3.63,16.7,0.0,72.3,16.37
2004-01-30,7.23,17.6,0.0,82.8,12.77
2004-01-31,6.15,39.3,92.4,81.6,13.85
2004-02-01,3.0,47.9,22.2,77.2,17.0
2004-02-02,3.96,46.8,18.8,83.1,16.04
2004-02-03,3.3,46.3,49.8,82.1,16.7
2004-02-04,6.21,42.8,6.5,79.7,13.79
2004-02-05,6.87,48.1,62.3,76.8,13.13
2004-02-06,3.3,17.5,0.0,88.8,16.7
2004-02-07,4.95,32.6,0.8,83.0,15.05
2004-02-08,3.1,24.0,0.0,81.3,16.9
2004-02-09,1.42,40.5,2.8,81.8,18.58
2004-02-10,0.25,25.8,247.7,77.6,19.75
2004-02-11,0.89,38.1,2.5,81.1,19.11
2004-02-12,-1.02,36.3,191.4,72.9,21.02
2004-02-13,-3.36,27.3,244.2,64.2,23.36
2004-02-14,-3.77,55.9,76.5,71.1,23.77
2004-02-15,-3.9,39.9,193.3,73.0,23.9
2004-02-16,-4.34,48.4,152.5,77.0,24.34
2004-02-17,-6.13,54.6,71.0,85.3,26.13
2004-02-18,-6.56,36.1,4.0,89.6,26.56
2004-02-19,-3.0,50.7,116.9,81.2,23.0
2004-02-20,-1.04,53.3,17.5,90.9,21.04
2004-02-21,-2.11,63.5,35.6,89.7,22.11
2004-02-22,1.99,62.8,156.2,81.8,18.01
2004-02-23,1.23,42.2,221.1,80.8,18.77
2004-02-24,0.42,56.6,9.2,78.0,19.58
2004-02-25,0.08,30.9,0.0,86.8,19.92
2004-02-26,-0.15,26.0,0.0,91.0,20.15
2004-02-27,0.59,73.0,17.2,79.4,19.41
2004-02-28,-0.08,67.0,5.0,89.8,20.08
2004-02-29,5.08,65.2,55.7,70.3,14.92
2004-03-01,4.82,65.6,24.7,65.7,15.18
2004-03-02,7.88,66.4,41.8,55.5,12.12
2004-03-03,12.92,61.5,3.3,49.9,0.0
2004-03-04,7.63,59.6,173.1,58.1,12.37
2004-03-05,8.35,58.3,63.1,41.5,11.65
2004-03-06,11.25,58.9,25.0,54.5,8.75
2004-03-07,6.13,28.3,0.0,83.9,13.87
2004-03-08,1.9,47.8,130.4,69.8,18.1
2004-03-09,0.31,35.9,311.4,55.0,19.69
2004-03-10,0.2,61.8,4.4,80.5,19.8
2004-03-11,2.55,33.3,0.0,89.4,17.45
2004-03-12,2.43,76.5,144.1,73.5,17.57
2004-03-13,2.77,87.1,16.8,77.3,17.23
