#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.5	91.3	0.92	0.92	0	0	50	0.0	14
0.5	-0.5	91.3	0.92	0.92	0	0	50	0.0	14
1.5	-0.5	90.5	-0.09	0.18	0	0	58	0.0	14
2.5	-0.5	90.1	-0.3	-0.0	0	0	67	0.0	14
3.5	-0.5	89.8	0.14	0.14	0	0	75	0.0	14
4.5	-0.5	89.7	-0.48	0.36	0	0	83	0.0	14
5.5	-0.4	89.8	-0.18	0.09	0	0	92	0.0	14
6.5	-0.4	90.0	0.22	0.33	0	0	100	0.0	14
7.5	-0.3	89.3	0.62	0.5	0	0	96	0.0	14
8.5	-0.2	89.1	-0.09	0.18	25	41	92	0.0	14
9.5	0.5	83.3	0.3	0.0	124	99	88	0.0	14
10.5	1.6	78.7	-0.46	0.19	447	122	83	0.0	14
11.5	2.4	80.0	-0.25	-0.76	278	140	79	0.0	14
12.5	2.7	77.2	-0.39	-0.1	24	149	75	0.0	14
13.5	2.8	79.1	-0.73	-0.53	0	93	77	0.0	14
14.5	2.8	81.5	-0.19	-0.67	1	75	79	0.0	14
15.5	2.5	83.8	-0.69	-0.58	0	23	81	0.0	14
16.5	1.7	89.4	-0.98	0.19	0	0	83	0.0	14
17.5	1.5	90.2	-0.0	0.6	0	0	85	0.0	14
18.5	1.5	90.8	-0.33	0.22	0	0	88	0.0	14
19.5	1.6	91.3	-0.45	-0.66	0	0	89	0.0	14
20.5	1.3	92.1	-0.78	0.19	0	0	90	0.0	14
21.5	1.1	93.9	0.28	0.42	0	0	91	0.0	14
22.5	0.9	95.0	-0.28	0.09	0	0	92	0.0	14
23.5	0.5	96.0	-0.42	0.28	0	0	93	0.0	14
24.5	0.1	95.9	0.41	1.02	0	0	94	0.0	14
25.5	-0.6	98.0	0.11	0.59	0	0	95	0.0	14
26.5	-0.6	97.2	0.12	0.38	0	0	96	0.0	14
27.5	-0.7	98.0	0.16	0.48	0	0	97	0.0	14
28.5	-0.4	97.4	-0.0	0.3	0	0	98	0.0	14
29.5	-0.4	97.7	-0.62	0.32	0	0	99	0.0	14
30.5	-0.3	97.3	0.58	0.39	0	0	100	0.0	14
31.5	-0.3	97.7	-0.45	0.23	0	0	98	0.0	14
32.5	0.2	95.7	0.21	0.21	0	35	96	0.0	14
33.5	0.9	94.3	0.21	0.21	119	100	94	0.0	14
34.5	1.8	91.5	0.09	-0.28	184	133	92	0.0	14
35.5	2.6	89.1	0.23	-1.28	169	163	90	0.0	14
36.5	3.7	86.2	-0.84	-1.24	316	128	88	0.0	14
37.5	4.0	86.5	-1.24	-2.06	237	117	90	0.0	14
38.5	3.0	90.2	-2.01	-2.23	0	60	92	0.0	14
39.5	2.7	90.4	-2.58	-1.32	0	13	94	0.0	14
40.5	2.4	91.2	-1.68	-1.26	0	0	96	0.0	14
41.5	2.3	90.5	-1.54	-1.43	0	0	98	0.0	14
42.5	2.1	92.1	-0.49	-1.52	0	0	100	0.0	14
43.5	1.8	93.1	0.09	-1.3	0	0	100	0.0	14
44.5	1.7	92.9	0.0	-1.2	0	0	100	0.0	14
45.5	1.6	91.4	0.19	-0.78	0	0	100	0.0	14
46.5	1.5	90.3	0.95	-0.31	0	0	100	0.0	14
47.5	1.3	91.9	0.28	0.42	0	0	100	0.0	14
48.5	1.2	93.3	0.07	0.07	0	0	100	0.0	14
49.5	1.2	94.0	0.09	0.28	0	0	100	0.0	14
50.5	1.3	92.5	0.53	0.73	0	0	100	0.0	14
51.5	1.2	90.4	0.31	0.74	0	0	100	0.0	14
52.5	1.4	87.7	0.78	0.78	0	0	100	0.0	14
53.5	1.6	87.0	0.09	0.9	0	0	100	0.0	14
54.5	1.6	88.9	0.4	-0.3	0	0	100	0.0	14
55.5	1.3	90.5	-0.6	-0.0	0	0	90	0.0	14
56.5	1.5	87.1	0.23	0.45	0	26	79	0.0	14
57.5	2.0	83.1	1.0	1.38	0	67	69	0.0	14
58.5	2.6	81.9	1.46	1.36	158	137	58	0.0	14
59.5	2.9	80.6	1.68	-0.24	616	102	48	0.0	14
60.5	3.3	79.0	1.38	-1.0	612	83	38	0.0	14
61.5	3.4	81.0	1.32	-1.63	561	78	42	0.0	14
62.5	2.8	83.2	1.7	-1.7	510	55	46	0.0	14
63.5	2.3	86.0	0.84	-1.24	214	35	50	0.0	14
64.5	1.4	88.9	-0.1	-0.79	0	0	54	0.0	14
65.5	0.3	94.2	-0.5	-0.0	0	0	58	0.0	14
66.5	-0.2	95.1	-0.21	1.18	0	0	62	0.0	14
67.5	-0.4	96.9	0.09	1.3	0	0	66	0.0	14
68.5	-0.5	99.1	-0.0	1.5	0	0	69	0.0	14
69.5	-1.3	98.7	-0.0	0.9	0	0	72	0.0	14
70.5	-2.2	97.9	-0.69	0.11	0	0	75	0.0	14
71.5	-2.5	96.5	-0.9	-0.09	0	0	78	0.0	14
72.5	-3.1	97.0	-1.08	-0.21	0	0	81	0.0	14
73.5	-2.7	96.9	-1.02	0.41	0	0	84	0.0	14
74.5	-1.9	97.9	-1.0	-0.1	0	0	88	0.0	14
75.5	-2.2	97.1	-0.71	0.36	0	0	91	0.0	14
76.5	-2.9	97.2	-1.34	0.41	0	0	94	0.0	14
77.5	-2.3	92.4	-0.89	0.45	0	0	97	0.0	14
78.5	-2.6	90.5	-0.76	0.48	0	0	100	0.0	14
79.5	-3.5	96.0	0.21	1.18	0	0	100	0.0	14
80.5	-2.8	94.6	0.32	1.36	354	34	100	0.0	14
81.5	-2.3	96.3	0.29	1.47	263	85	100	0.0	14
82.5	-0.9	93.2	0.5	0.34	21	131	100	0.0	14
83.5	0.1	93.9	0.1	0.0	0	112	100	0.0	14
84.5	0.6	94.4	0.27	0.14	0	117	100	0.0	14
85.5	1.0	94.5	-0.79	-0.12	0	99	100	0.0	14
86.5	0.8	94.6	-0.98	0.19	6	80	100	0.0	14
87.5	0.2	98.0	-0.95	0.31	0	22	100	0.0	14
88.5	-0.5	99.4	-1.4	-0.0	0	0	100	0.0	14
89.5	0.3	96.1	-0.0	0.9	0	0	100	0.0	14
90.5	0.7	96.2	0.9	0.0	0	0	100	0.0	14
91.5	1.0	95.8	-0.6	-0.0	0	0	99	0.0	14
92.5	1.4	94.8	-0.9	-0.0	0	0	98	0.0	14
93.5	2.8	90.7	0.54	1.4	0	0	97	0.2	14
94.5	3.2	89.7	0.62	0.91	0	0	96	0.0	14
95.5	3.2	90.9	0.71	-0.71	0	0	95	0.0	14
96.5	2.8	93.0	-1.38	-0.24	0	0	94	0.0	14
97.5	3.4	89.8	-0.0	1.7	0	0	93	0.0	14
98.5	5.4	79.6	1.84	3.32	0	0	92	0.0	14
99.5	4.9	83.4	1.99	1.15	0	0	91	0.0	14
100.5	3.8	91.1	-0.96	0.29	0	0	90	0.1	14
101.5	4.2	90.1	0.55	0.95	0	0	89	0.0	14
102.5	4.2	90.6	1.0	0.45	0	0	88	0.0	14
103.5	3.7	93.4	-0.39	-0.92	0	0	85	0.0	14
104.5	3.6	94.4	-0.79	0.1	0	28	83	0.0	14
105.5	4.1	93.0	-0.36	-0.18	0	69	81	0.0	14
106.5	4.1	93.4	-1.06	-1.06	0	72	79	0.0	14
107.5	5.2	88.1	-0.56	-0.22	0	111	77	0.0	14
108.5	5.4	90.7	0.1	-1.0	100	130	75	0.0	14
109.5	6.3	84.3	-0.78	-1.16	366	122	79	0.0	14
110.5	6.0	86.4	-0.66	-0.76	11	80	83	0.0	14
111.5	4.9	91.5	-0.48	-0.36	0	22	88	0.0	14
112.5	3.8	95.6	0.3	-0.4	0	0	92	0.0	14
113.5	2.5	98.8	-0.0	0.1	0	0	96	0.0	14
114.5	2.4	99.1	0.1	1.4	0	0	100	0.0	14
115.5	2.5	100.0	-0.1	0.49	0	0	100	0.0	14
116.5	2.4	99.4	-0.76	0.48	0	0	100	0.0	14
117.5	2.2	100.0	-0.48	0.36	0	0	100	0.0	14
